"L. de onda","Abs"
569.0,-0.001
570.0,-0.001
571.0,-0.001
572.0,-0.001
573.0,-0.001
574.0,-0.001
575.0,-0.001
576.0,-0.001
577.0,-0.001
578.0,-0.001
579.0,-0.001
580.0,-0.001
581.0,-0.001
582.0,-0.001
583.0,-0.001
584.0,-0.001
585.0,-0.001
586.0,0.000
587.0,-0.001
588.0,-0.001
589.0,-0.001
590.0,-0.001
591.0,-0.001
592.0,-0.001
593.0,-0.001
594.0,-0.001
595.0,-0.001
596.0,-0.001
597.0,-0.001
598.0,-0.001
599.0,-0.001
600.0,-0.001
601.0,-0.001
602.0,-0.001
603.0,-0.001
604.0,-0.001
605.0,-0.001
606.0,-0.001
607.0,-0.001
608.0,-0.002
609.0,-0.001
610.0,-0.001
611.0,-0.001
612.0,-0.001
613.0,-0.001
614.0,-0.001
615.0,-0.001
616.0,-0.001
617.0,-0.001
618.0,-0.001
619.0,-0.001
620.0,-0.001
621.0,0.000
622.0,-0.001
623.0,0.000
624.0,-0.001
625.0,0.000
626.0,0.000
627.0,0.000
628.0,-0.001
629.0,0.000
630.0,0.000
631.0,-0.001
632.0,-0.001
633.0,0.000
634.0,-0.001
635.0,-0.001
636.0,-0.001
637.0,0.000
638.0,0.000
639.0,0.000
640.0,-0.001
641.0,-0.001
642.0,-0.001
643.0,-0.001
644.0,-0.001
645.0,0.000
646.0,-0.001
647.0,-0.001
648.0,0.000
649.0,0.000
650.0,0.000
651.0,-0.001
652.0,0.000
653.0,0.000
654.0,0.000
655.0,0.001
656.0,0.000
657.0,0.000
658.0,-0.001
659.0,0.000
660.0,0.000
661.0,0.000
662.0,-0.001
663.0,0.000
664.0,0.000
665.0,0.000
666.0,-0.001
667.0,-0.001
668.0,0.000
669.0,0.000
670.0,-0.001
671.0,0.000
672.0,0.000
673.0,-0.001
674.0,-0.001
675.0,0.000
676.0,0.000
677.0,0.000
678.0,0.000
679.0,0.000
680.0,-0.001
681.0,0.000
682.0,-0.001
683.0,0.001
684.0,-0.001
685.0,-0.001
686.0,0.000
687.0,-0.001
688.0,-0.001
689.0,0.000
690.0,-0.001
691.0,0.000
692.0,-0.001
693.0,0.000
694.0,0.001
695.0,0.000
696.0,0.000
697.0,0.000
698.0,0.001
699.0,0.001
700.0,0.001
